STATE/UT,CRIME HEAD,Year,Crime Count
Arunachal Pradesh,RAPE,2009,59
Assam,RAPE,2009,1631
Bihar,RAPE,2009,929
Chhattisgarh,RAPE,2009,976
Goa,RAPE,2009,47
Gujarat,RAPE,2009,433
Haryana,RAPE,2009,603
Himachal Pradesh,RAPE,2009,183
Jammu & Kashmir,RAPE,2009,237
Jharkhand,RAPE,2009,719
Karnataka,RAPE,2009,509
Kerala,RAPE,2009,568
Madhya Pradesh,RAPE,2009,2998
Maharashtra,RAPE,2009,1483
Manipur,RAPE,2009,31
Meghalaya,RAPE,2009,112
Mizoram,RAPE,2009,83
Nagaland,RAPE,2009,22
Odisha,RAPE,2009,1023
Punjab,RAPE,2009,511
Rajasthan,RAPE,2009,1519
Sikkim,RAPE,2009,18
Tamil Nadu,RAPE,2009,596
Tripura,RAPE,2009,190
Uttar Pradesh,RAPE,2009,1759
Uttarakhand,RAPE,2009,111
West Bengal,RAPE,2009,2336
A&N Islands,RAPE,2009,18
Chandigarh,RAPE,2009,29
D&N Haveli,RAPE,2009,4
Daman & Diu,RAPE,2009,1
Delhi UT,RAPE,2009,469
Lakshadweep,RAPE,2009,1
Puducherry,RAPE,2009,1
All India,RAPE,2009,21397
Andhra Pradesh,RAPE,2010,1362
Arunachal Pradesh,RAPE,2010,47
Assam,RAPE,2010,1721
Bihar,RAPE,2010,795
Chhattisgarh,RAPE,2010,1012
Goa,RAPE,2010,36
Gujarat,RAPE,2010,408
Haryana,RAPE,2010,720
Himachal Pradesh,RAPE,2010,160
Jammu & Kashmir,RAPE,2010,245
Jharkhand,RAPE,2010,773
Karnataka,RAPE,2010,586
Kerala,RAPE,2010,634
Madhya Pradesh,RAPE,2010,3135
Maharashtra,RAPE,2010,1599
Manipur,RAPE,2010,34
Meghalaya,RAPE,2010,149
Mizoram,RAPE,2010,92
Nagaland,RAPE,2010,16
Odisha,RAPE,2010,1025
Punjab,RAPE,2010,546
Rajasthan,RAPE,2010,1571
Sikkim,RAPE,2010,18
Tamil Nadu,RAPE,2010,686
Tripura,RAPE,2010,238
Uttar Pradesh,RAPE,2010,1563
Uttarakhand,RAPE,2010,121
West Bengal,RAPE,2010,2311
A&N Islands,RAPE,2010,24
Chandigarh,RAPE,2010,31
D&N Haveli,RAPE,2010,3
